NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
Revista Contemporánea. Publicación mensual,1,"Sanín Cano, Baldomero",Director,NA,Colombia,Porvenir del Castellano,1,Octubre de 1904,1904-10-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,17.3,1-18
Revista Contemporánea. Publicación mensual,2,Anónimo,Ilustrador,NA,NA,NA,1,Octubre de 1904,1904-10-01,No,NA,NA,NA,Imagen,NA,NA,NA,0.2,18
Revista Contemporánea. Publicación mensual,3,Anónimo,Ilustrador,NA,NA,NA,1,Octubre de 1904,1904-10-01,No,NA,NA,NA,Imagen,NA,NA,NA,0.2,19
Revista Contemporánea. Publicación mensual,4,"Valencia, Francisco",Creador,Pacho Valencia,Colombia,Sugestiones,1,Octubre de 1904,1904-10-01,No,NA,Español,NA,Poesía,NA,NA,NA,02.7,19-21
Revista Contemporánea. Publicación mensual,5,Anónimo,Ilustrador,NA,NA,NA,1,Octubre de 1904,1904-10-01,No,NA,NA,NA,Imagen,NA,NA,NA,0.1,21
Revista Contemporánea. Publicación mensual,6,"Uribe, Diego",Creador,NA,Colombia,Paseo nocturno,1,Octubre de 1904,1904-10-01,No,NA,Español,NA,Poesía,NA,"Cuervo, Emilio",NA,02.4,22-24
Revista Contemporánea. Publicación mensual,7,Anónimo,Ilustrador,NA,NA,NA,1,Octubre de 1904,1904-10-01,No,NA,NA,NA,Imagen,NA,NA,NA,0.2,25
Revista Contemporánea. Publicación mensual,8,"Gaitán O., Gustavo",Creador,NA,NA,Lucha suprema. Fragmento de un diario,1,Octubre de 1904,1904-10-01,No,NA,Español,NA,Prosa Ficción,Fragmento,NA,NA,21.3,25-47
Revista Contemporánea. Publicación mensual,9,Anónimo,Ilustrador,NA,NA,NA,1,Octubre de 1904,1904-10-01,No,NA,NA,NA,Imagen,NA,NA,NA,0.5,47
Revista Contemporánea. Publicación mensual,10,Anónimo,Ilustrador,NA,NA,NA,1,Octubre de 1904,1904-10-01,No,NA,NA,NA,Imagen,NA,NA,NA,0.3,48
Revista Contemporánea. Publicación mensual,11,"Valencia, Guillermo",Creador,"Valencia, G.",Colombia,Nihil,1,Octubre de 1904,1904-10-01,No,NA,Español,NA,Poesía,NA,NA,NA,0.7,48
Revista Contemporánea. Publicación mensual,12,"López, Ismael",Creador,Cornelio Hispanio,Colombia,El atleta,1,Octubre de 1904,1904-10-01,No,NA,Español,NA,Poesía,NA,NA,NA,1,49
Revista Contemporánea. Publicación mensual,13,"Bengoechea, Alfredo de",Creador,NA,Colombia,Vieilles Tristesses,1,Octubre de 1904,1904-10-01,No,NA,Francés,NA,Poesía,NA,"Régnier, Henri de ",NA,2,50-51
Revista Contemporánea. Publicación mensual,14,Anónimo,Ilustrador,NA,NA,NA,1,Octubre de 1904,1904-10-01,No,NA,NA,NA,Imagen,NA,NA,NA,0.3,52
Revista Contemporánea. Publicación mensual,15,"Hinestroza Daza, Ricardo",Crítico,NA,Colombia,"""Emociones de la guerra""",1,Octubre de 1904,1904-10-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,33.2,52-86
Revista Contemporánea. Publicación mensual,16,Anónimo,Ilustrador,NA,NA,NA,1,Octubre de 1904,1904-10-01,No,NA,NA,NA,Imagen,NA,NA,NA,0.5,86
Revista Contemporánea. Publicación mensual,17,Anónimo,Reseñista,NA,NA,Cartas de un oficial chino,1,Octubre de 1904,1904-10-01,No,NA,Español,NA,Reseña,Notas,NA,Cartas de un oficial chino,02.6,87-89
Revista Contemporánea. Publicación mensual,18,"Gourmont, Remy de",Reseñista,NA,Francia,Inocencia,1,Octubre de 1904,1904-10-01,Sí,NA,Español,Francés,Reseña,Notas,NA,Inocencia de Francisco de Paula Rendón,02.4,89-91
Revista Contemporánea. Publicación mensual,19,"Duque Uribe, Rafael",Reseñista,"D'Oribe, R.",Colombia,Les Arte de la Vie,1,Octubre de 1904,1904-10-01,No,NA,Español,NA,Reseña de revista,Notas,NA,Les Arte de la Vie,03.5,92-95
Revista Contemporánea. Publicación mensual,20,"Duque Uribe, Rafael",Reseñista,"D'Oribe, R.",Colombia,Revue Des Idées,1,Octubre de 1904,1904-10-01,No,NA,Español,NA,Reseña de revista,Notas,NA,Revue Des Idées,0.7,95-96
Revista Contemporánea. Publicación mensual,21,"Duque Uribe, Rafael",Reseñista,"D'Oribe, R.",Colombia,Helios,1,Octubre de 1904,1904-10-01,No,NA,Español,NA,Reseña de revista,Notas,NA,Helios (de Madrid),01.8,96-97
Revista Contemporánea. Publicación mensual,22,"Grillo, Maximiliano",Creador,Max Grillo,Colombia,Literaturas en decadencia,2,Noviembre de 1904,1904-11-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,20.5,98-119
Revista Contemporánea. Publicación mensual,23,Anónimo,Ilustrador,NA,NA,NA,2,Noviembre de 1904,1904-11-01,No,NA,NA,NA,Imagen,NA,NA,NA,0.5,119
Revista Contemporánea. Publicación mensual,24,Anónimo,Ilustrador,NA,NA,NA,2,Noviembre de 1904,1904-11-01,No,NA,NA,NA,Imagen,NA,NA,NA,0.3,120
